City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hilo,US,82.4,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Cockburn Town,TC,77.0,few clouds,21.4612,-71.1419,Osprey Beach Hotel
15,Maxixe,MZ,77.88,overcast clouds,-23.8597,35.3472,Oceano
17,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
18,San Policarpo,PH,79.72,overcast clouds,12.1791,125.5072,JM Lodge
20,Mahajanga,MG,77.0,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
21,Rikitea,PF,77.61,broken clouds,-23.1203,-134.9692,Pension Maro'i
24,Puerto Ayora,EC,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
33,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
48,Hithadhoo,MV,81.88,scattered clouds,-0.6,73.0833,Scoop Guest House
51,Boca Do Acre,BR,77.25,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
54,Atuona,PF,79.59,few clouds,-9.8,-139.0333,Villa Enata
57,Kismayo,SO,76.91,clear sky,-0.3582,42.5454,Agan-Hotel
59,Hambantota,LK,76.42,few clouds,6.1241,81.1185,Bungalow 63
69,Kiunga,PG,81.43,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
71,Namatanai,PG,85.19,light rain,-3.6667,152.4333,Namatanai Hotel
74,Caravelas,BR,76.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
79,Paine,CL,75.2,clear sky,-33.8167,-70.75,Hotel El Almendro
81,Labuhan,ID,77.65,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
85,Maningrida,AU,82.31,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
100,Libertador General San Martin,AR,78.06,scattered clouds,-23.8064,-64.7876,Posada del Sol
104,Mogadishu,SO,77.54,few clouds,2.0371,45.3438,Hotel Juba
109,Boa Vista,BR,82.4,light rain,2.8197,-60.6733,Aipana Plaza Hotel
110,Puerto Escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
112,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
113,Carutapera,BR,77.14,moderate rain,-1.195,-46.02,Lidera
115,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
121,Sulangan,PH,79.3,overcast clouds,11.1373,123.7228,Maia's Beach Resort
128,Mackay,AU,86.0,broken clouds,-21.15,149.2,International Lodge Motel
130,Humaita,BR,76.82,light rain,-7.5061,-63.0208,Corrêa Hotel
132,Vaini,TO,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
133,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
140,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
142,Faanui,PF,81.54,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
147,Kilindoni,TZ,82.08,overcast clouds,-7.9139,39.6668,Bustani B&B
149,Mareeba,AU,90.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
159,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
