City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,30.0,72,100,1.25,US,2021-02-07 20:54:03
1,Vanimo,-2.6741,141.3028,77.32,86,100,4.34,PG,2021-02-07 20:51:33
2,Rikitea,-23.1203,-134.9692,77.65,72,96,11.97,PF,2021-02-07 20:49:24
3,Goderich,43.7501,-81.7165,10.4,67,100,14.97,CA,2021-02-07 20:54:03
4,Saskatoon,52.1168,-106.6345,-25.01,68,1,3.44,CA,2021-02-07 20:51:26
5,Mananjary,-21.2167,48.3333,79.5,87,100,12.55,MG,2021-02-07 20:54:04
6,Barrow,71.2906,-156.7887,-23.8,76,1,11.5,US,2021-02-07 20:54:04
7,Ponta Do Sol,32.6667,-17.1,59.0,69,40,5.99,PT,2021-02-07 20:54:04
8,Svetlogorsk,52.6333,29.7333,6.64,92,100,3.87,BY,2021-02-07 20:54:04
9,Yellowknife,62.456,-114.3525,-32.01,61,1,4.61,CA,2021-02-07 20:51:35
10,Vaini,-21.2,-175.2,78.8,78,75,12.66,TO,2021-02-07 20:49:13
11,Kapaa,22.0752,-159.319,73.0,56,1,3.13,US,2021-02-07 20:49:05
12,Bluff,-46.6,168.3333,58.26,73,97,5.21,NZ,2021-02-07 20:54:04
13,Mataura,-46.1927,168.8643,63.41,57,98,2.89,NZ,2021-02-07 20:54:05
14,Buin,-33.7333,-70.75,77.0,47,0,5.75,CL,2021-02-07 20:54:05
15,Jamestown,42.097,-79.2353,16.0,79,90,16.11,US,2021-02-07 20:54:05
16,Khash,28.2211,61.2158,45.55,43,2,2.98,IR,2021-02-07 20:54:05
17,Chokurdakh,70.6333,147.9167,-18.98,87,100,8.77,RU,2021-02-07 20:54:05
18,Busselton,-33.65,115.3333,62.01,99,87,1.99,AU,2021-02-07 20:49:29
19,San Quintin,30.4833,-115.95,65.53,52,1,9.95,MX,2021-02-07 20:54:05
20,Butaritari,3.0707,172.7902,81.28,80,96,19.91,KI,2021-02-07 20:49:16
21,Kavaratti,10.5669,72.642,80.56,71,3,7.31,IN,2021-02-07 20:54:06
22,Port Elizabeth,-33.918,25.5701,66.2,94,90,6.91,ZA,2021-02-07 20:54:06
23,Kulhudhuffushi,6.6221,73.07,81.12,74,99,8.41,MV,2021-02-07 20:54:06
24,Port Alfred,-33.5906,26.891,66.99,95,98,7.85,ZA,2021-02-07 20:49:41
25,Saskylakh,71.9167,114.0833,-37.32,78,28,13.71,RU,2021-02-07 20:53:42
26,Hobart,-42.8794,147.3294,55.4,58,40,13.8,AU,2021-02-07 20:54:06
27,Avarua,-21.2078,-159.775,84.2,74,20,13.8,CK,2021-02-07 20:54:05
28,Narsaq,60.9167,-46.05,37.4,28,53,49.48,GL,2021-02-07 20:51:35
29,Bambous Virieux,-20.3428,57.7575,80.6,78,75,9.22,MU,2021-02-07 20:54:07
